Source IP,Destination IP,Source Port,Destination Port,Source MAC ,Login Date,Login In Time,Log Out Time,Status,Attempt
192.168.86.165,192.168.86.171,52984,5006,dc:a6:32:f8:a7:52,Nov-25-2021,12.20.58,12.21.58,Success,1
192.168.86.165,192.168.86.171,52986,5006,dc:a6:32:f8:a7:52,Nov-25-2021,12.23.21,12.25.58,Success,2
192.168.86.41,192.168.86.171,60586,5006,dc:a6:32:f8:a7:d6,Nov-25-2021,12.23.39,12.25.58,Success,1
192.168.86.165,192.168.86.171,52988,5006,dc:a6:32:f8:a7:52,Nov-25-2021,12.26.14,13.25.40,Success,3
192.168.86.41,192.168.86.171,60588,5006,dc:a6:32:f8:a7:d6,Nov-25-2021,12.27.06,13.25.58,Success,2
192.168.114.41,192.168.171.241,45076,5006,dc:a6:32:f8:a7:d6,Dec-13-2021,12.16.04,Active,Success,
192.168.114.41,192.168.171.241,45078,5006,dc:a6:32:f8:a7:d6,Dec-13-2021,14.58.54,Active,Success,
192.168.114.41,192.168.171.241,45080,5006,dc:a6:32:f8:a7:d6,Dec-13-2021,15.01.24,Active,Success,
192.168.114.41,192.168.171.241,45082,5006,dc:a6:32:f8:a7:d6,Dec-13-2021,15.02.19,Active,Success,
192.168.114.41,192.168.171.241,45090,5006,dc:a6:32:f8:a7:d6,Dec-13-2021,15.23.51,Active,Success,
