,Source IP ,Destinagation IP,Sent Time,Received Time,Node ID,Temperature,Humidity,Light,Sound,PIR,Distance,Size,anomaly
1,192.168.43.188,192.168.43.241,2021-12-06:15:23:39,2021-12-06:15:23:39,1,27.0,67.9,19,14,0,140,172B,1
2,192.168.43.188,192.168.43.241,2021-12-06:15:23:43,2021-12-06:15:23:43,1,26.9,67.3,19,13,0,141,174B,0
4,192.168.43.188,192.168.43.241,2021-12-06:15:23:50,2021-12-06:15:23:50,1,27.0,68.0,19,12,0,141,174B,1
6,192.168.43.188,192.168.43.241,2021-12-06:15:23:56,2021-12-06:15:23:56,1,27.0,68.0,19,13,1,140,173B,1
8,192.168.43.188,192.168.43.241,2021-12-06:15:24:03,2021-12-06:15:24:03,1,27.1,68.0,19,14,1,141,174B,1
10,192.168.43.188,192.168.43.241,2021-12-06:15:24:10,2021-12-06:15:24:10,1,27.1,67.9,37,13,1,141,173B,1
11,192.168.43.188,192.168.43.241,2021-12-06:15:24:14,2021-12-06:15:24:14,1,26.9,67.2,19,12,0,140,174B,0
13,192.168.43.188,192.168.43.241,2021-12-06:15:24:30,2021-12-06:15:24:30,1,27.0,67.8,19,12,0,140,174B,1
15,192.168.43.188,192.168.43.241,2021-12-06:15:24:37,2021-12-06:15:24:37,1,27.0,67.8,19,14,0,140,174B,1
17,192.168.43.188,192.168.43.241,2021-12-06:15:24:44,2021-12-06:15:24:44,1,26.9,67.2,19,13,0,140,174B,1
18,192.168.43.188,192.168.43.241,2021-12-06:15:24:48,2021-12-06:15:24:48,1,27.0,67.8,19,12,1,140,172B,1
20,192.168.43.188,192.168.43.241,2021-12-06:15:24:54,2021-12-06:15:24:54,1,27.0,67.8,19,14,1,140,174B,1
22,192.168.43.188,192.168.43.241,2021-12-06:15:25:01,2021-12-06:15:25:01,1,27.0,67.8,19,13,1,140,174B,1
24,192.168.43.188,192.168.43.241,2021-12-06:15:25:08,2021-12-06:15:25:08,1,27.0,67.8,19,14,0,140,173B,0
25,192.168.43.188,192.168.43.241,2021-12-06:15:25:11,2021-12-06:15:25:11,1,27.0,67.8,19,13,0,140,173B,0
27,192.168.43.188,192.168.43.241,2021-12-06:15:25:18,2021-12-06:15:25:18,1,27.1,67.8,19,14,0,140,174B,0
29,192.168.43.188,192.168.43.241,2021-12-06:15:25:28,2021-12-06:15:25:28,1,26.9,67.2,19,172,0,140,172B,1
31,192.168.43.188,192.168.43.241,2021-12-06:15:44:36,2021-12-06:15:44:36,1,27.0,67.8,19,13,0,140,173B,1
32,192.168.43.188,192.168.43.241,2021-12-06:15:44:50,2021-12-06:15:44:50,1,27.0,67.8,19,158,0,141,173B,0
34,192.168.43.188,192.168.43.241,2021-12-06:17:48:04,2021-12-06:17:48:04,1,26.9,67.2,19,170,0,140,173B,1
36,192.168.43.188,192.168.43.241,2021-12-06:17:50:58,2021-12-06:17:50:58,1,27.0,67.8,19,145,0,141,173B,1
38,192.168.43.188,192.168.43.241,2021-12-06:18:08:58,2021-12-06:18:08:58,1,27.0,67.8,19,145,0,140,174B,0
39,192.168.43.188,192.168.43.241,2021-12-06:18:11:51,2021-12-06:18:11:51,1,26.9,67.0,19,154,0,140,174B,0
41,192.168.43.188,192.168.43.241,2021-12-06:18:14:37,2021-12-06:18:14:37,1,26.9,67.0,19,174,0,140,173B,0
43,192.168.43.188,192.168.43.241,2021-12-06:18:16:47,2021-12-06:18:16:47,1,27.0,67.7,19,143,0,140,174B,1
45,192.168.43.188,192.168.43.241,2021-12-06:18:17:04,2021-12-06:18:17:04,1,27.0,67.7,19,168,0,140,173B,1
47,192.168.43.188,192.168.43.241,2021-12-06:18:17:24,2021-12-06:18:17:24,1,27.1,67.7,19,156,0,140,174B,0
